field_ID,sample_ID,country,country_full,site,site_full,farmer_no,type,species,variety,material,material_type,date,UTM_easting,UTM_northing,coordinate_system,altitude
CI_tb_07,CI_tb_07_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,7,add,D. rotundata,Djiminikou/koudjan,soil,soil_add,20140707,206496,892394,UTM,314
CI_tb_08,CI_tb_08_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,8,cal,D. rotundata,Djiminikou/koudjan,leaf,leaf,20140707,205539,894413,UTM,319
CI_tb_08,CI_tb_08_vine,ci,Côte d'Ivoire,tb,Tiéningboué,8,cal,D. rotundata,Djiminikou/koudjan,vine,vine,20140707,205539,894413,UTM,319
CI_tb_08,CI_tb_08_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,8,cal,D. rotundata,Djiminikou/koudjan,soil,soil_cal,20140707,205539,894413,UTM,319
CI_tb_08,CI_tb_08_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,8,add,D. rotundata,Djiminikou/koudjan,soil,soil_add,20140707,205539,894413,UTM,319
CI_tb_09,CI_tb_09_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,9,cal,D. rotundata,Djiminikou/koudjan,leaf,leaf,20140707,206234,898456,UTM,310
CI_tb_09,CI_tb_09_vine,ci,Côte d'Ivoire,tb,Tiéningboué,9,cal,D. rotundata,Djiminikou/koudjan,vine,vine,20140707,206234,898456,UTM,310
CI_tb_09,CI_tb_09_tuber,ci,Côte d'Ivoire,tb,Tiéningboué,9,cal,D. rotundata,Djiminikou/koudjan,tuber,tuber,20140707,206234,898456,UTM,310
CI_tb_09,CI_tb_09_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,9,cal,D. rotundata,Djiminikou/koudjan,soil,soil_cal,20140707,206234,898456,UTM,310
CI_tb_09,CI_tb_09_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,9,add,D. rotundata,Djiminikou/koudjan,soil,soil_add,20140707,206234,898456,UTM,310
CI_tb_10,CI_tb_10_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,10,cal,D. alata,Cameroun,leaf,leaf,20140708,195298,896550,UTM,291
CI_tb_10,CI_tb_10_vine,ci,Côte d'Ivoire,tb,Tiéningboué,10,cal,D. alata,Cameroun,vine,vine,20140708,195298,896550,UTM,291
CI_tb_10,CI_tb_10_tuber,ci,Côte d'Ivoire,tb,Tiéningboué,10,cal,D. alata,Cameroun,tuber,tuber,20140708,195298,896550,UTM,291
CI_tb_10,CI_tb_10_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,10,cal,D. alata,Cameroun,soil,soil_cal,20140708,195298,896550,UTM,291
CI_tb_10,CI_tb_10_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,10,add,D. alata,Cameroun,soil,soil_add,20140708,195298,896550,UTM,291
CI_tb_11,CI_tb_11_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,11,cal,D. rotundata,Krenglè,leaf,leaf,20140709,195513,895684,UTM,297
CI_tb_11,CI_tb_11_vine,ci,Côte d'Ivoire,tb,Tiéningboué,11,cal,D. rotundata,Krenglè,vine,vine,20140709,195513,895684,UTM,297
