sample_ID,country,site,category,material,N_perc,C_perc,S_perc
BF_lo_09_leaf,BF,lo,ref,leaf,3.4275,42.1713,0.2755
BF_lo_10_leaf,BF,lo,ref,leaf,2.9742,42.9182,0.2292
BF_lo_11_leaf,BF,lo,ref,leaf,4.0869,42.6638,0.2692
BF_lo_12_leaf,BF,lo,ref,leaf,3.8071,41.5397,0.3348
BF_lo_13_leaf,BF,lo,ref,leaf,3.8789,42.1875,0.2946
BF_lo_01_leaf,BF,lo,ref,leaf,3.1964,42.0053,0.3076
BF_lo_14_leaf,BF,lo,ref,leaf,4.5015,41.0715,0.3109
BF_lo_15_leaf,BF,lo,ref,leaf,3.9898,42.7415,0.2861
BF_lo_16_leaf,BF,lo,ref,leaf,3.9953,39.6836,0.3017
BF_lo_01_leaf,BF,lo,ref,leaf,3.2122,41.6981,0.3196
BF_lo_17_leaf,BF,lo,ref,leaf,3.9964,41.1969,0.2299
BF_lo_18_leaf,BF,lo,ref,leaf,3.7352,42.0414,0.268
BF_lo_19_leaf,BF,lo,ref,leaf,4.3505,41.5989,0.3057
BF_lo_20_leaf,BF,lo,ref,leaf,3.801,41.9915,0.2776
BF_lo_20_leaf,BF,lo,ref,leaf,3.8211,42.0836,0.2714
BF_lo_20_leaf,BF,lo,ref,leaf,3.8282,42.2166,0.293
